====================
post_office  |  Shin-Matsudo Post Office
bank  |  七島信用組合
pharmacy  |  中川薬局
restaurant  |  御殿山荘
dentist  |  高輪南町歯科医院
cafe  |  サンマルクカフェ
bicycle_parking  |  御嶽山駅前第一自転車駐車場
bicycle_parking  |  御嶽山駅前第二自転車駐車場
bank  |  芝信用金庫
parking  |  タイムズ
place_of_worship  |  金比羅社; 大鳥社; 稲荷社; 香取社; 鹿島社
place_of_worship  |  吉祥山 相應寺
parking  |  アイペック (iPEC)
parking  |  アイペック (iPEC)
parking  |  タイムズ
parking  |  アイペック
parking  |  タイムズ
parking  |  タイムズ
fuel  |  ENEOS
restaurant  |  MoMo 柏店
restaurant  |  安信屋
school  |  茨城県立茎崎高校
school  |  つくば市立茎崎第二小学校
bank  |  多摩信用金庫
parking  |  タイムズ
parking  |  NPC
cafe  |  ドトールコーヒーショップ
place_of_worship  |  日本基督教団 東調布教会
doctors  |  左近山クリニック
place_of_worship  |  東福寺
toilets  |  石老山入口公衆トイレ
kindergarten  |  たかば保育園
school  |  高野小学校
restaurant  |  丸亀製麺
post_office  |  日立金沢郵便局
post_box  |  ポスト
pharmacy  |  カワチ薬局
fast_food  |  マクドナルド
pharmacy  |  カワチ薬局
bank  |  筑波銀行
bank  |  三井住友銀行
parking  |  タイムズ
parking  |  リビングパーク
fast_food  |  日高屋
parking  |  タイムズ
parking  |  タイムズ
fast_food  |  Mos Burger
pub  |  居酒屋 小松
fast_food  |  らあめん花月
pub  |  時代屋
bar  |  KARON
parking  |  六本木パーク第2
fuel  |  ENEOS
pharmacy  |  薬樹薬局
arts_centre  |  本所ひとノま
restaurant  |  割烹船生
post_office  |  茎崎みなみ郵便局
fast_food  |  マクドナルド
fuel  |  ENEOS
parking  |  タイムズ江戸川台
fuel  |  Esso
fast_food  |  ドミノ・ピザ
fast_food  |  築地銀だこ
hospital  |  佐藤内科クリニック
restaurant  |  フライングガーデン
doctors  |  草間医院
hospital  |  東取手病院
fast_food  |  元気寿司
doctors  |  とりで医院
vending_machine  |  タバコ・ドリンク自動販売機
fuel  |  ENEOS
fuel  |  ENEOS
bank  |  水戸信用金庫
restaurant  |  ラーメン　あじ平
library  |  佐野図書館
bank  |  常陽銀行
fast_food  |  なか卯
restaurant  |  はま寿司
fast_food  |  じゃがいも
pub  |  雲海
fuel  |  Esso
restaurant  |  プリモピアット
fast_food  |  すてき亭
fast_food  |  春秋庵ラーメン
fast_food  |  江川亭
training  |  スミレ編物教室
restaurant  |  沢元
restaurant  |  増田屋
restaurant  |  江川亭
clinic  |  城田クリニック
pub  |  魚民
fast_food  |  すき家
atm  |  新生銀行
restaurant  |  九つ井
dentist  |  大熊歯科医院
pharmacy  |  ココカラファイン
clinic  |  うえぼう耳鼻咽喉科
clinic  |  武田整形外科
community_centre  |  鎌田区民集会所
bus_station  |  名戸ヶ谷
bicycle_parking  |  西国分寺駅北口 自転車駐車場
parking  |  タイムズ
community_centre  |  コミュニティセンター上草柳会館
restaurant  |  夢庵
restaurant  |  グラッチェガーデンズ
restaurant  |  大村庵
fuel  |  ENEOS
restaurant  |  ブロンコビリー
pharmacy  |  浅野薬局
pub  |  芳一
restaurant  |  OSTERIA
restaurant  |  幸軒
pharmacy  |  サンドラッグ
restaurant  |  ビストロ千俵
fast_food  |  ロッテリア
fast_food  |  茶月
pub  |  白木屋
pub  |  めでた屋
pub  |  千年の宴
restaurant  |  東京パスタgiappone
pub  |  庄や
pub  |  鳥芳
pub  |  ちょこり
pub  |  酒々や
bank  |  東京都民銀行
bank  |  多摩信用金庫
restaurant  |  Bon Mariage
pub  |  西菜
pub  |  ぼんまり
parking  |  タイムズ
dentist  |  ゆとり歯科医院
restaurant  |  廻転 びっくり寿司 西国分寺店
fast_food  |  松屋 国分寺西元町店
restaurant  |  満北亭
restaurant  |  安楽亭 西国分寺店
restaurant  |  お好み焼道とん堀
veterinary  |  ピースどうぶつ病院
restaurant  |  雪寿司
pub  |  ここはすでに閉店してありません
fast_food  |  MATSUYA
restaurant  |  やよい軒
restaurant  |  ぐるめらん
pharmacy  |  Welcia
restaurant  |  東里庵
cafe  |  カフェ クオーレ
restaurant  |  もじ蔵
cafe  |  Caffe21
pharmacy  |  旭薬局
pub  |  やきとり紫さん
pub  |  炙り居酒屋ふさ
place_of_worship  |  慶善寺
restaurant  |  千成鮨
restaurant  |  Wagyu
restaurant  |  かな井
restaurant  |   Saizeriya 
bar  |  Gemstone
fast_food  |  すた丼の店
restaurant  |  Nihonkai-Shoya
restaurant  |  温野菜
fast_food  |  大和家
pharmacy  |  ぱぱす
cafe  |  Net cafe プラド
pub  |  はたご屋
restaurant  |  ノイ・フランク
pub  |  庄や
restaurant  |  深川つり
restaurant  |  Takumi
cafe  |  白十字
parking  |  くにたち駐車場
community_centre  |  国立市公民館
restaurant  |  雅月
restaurant  |  とらふぐ亭
fast_food  |  哲麺
pub  |  桃太郎
pharmacy  |  ドラッグストアスマイル
dentist  |  あさ歯科医院
atm  |  たましん
pub  |  のがみ
pub  |  居酒屋みはる
pub  |  居酒屋ほしば
restaurant  |  季節料理 山喜
restaurant  |  韓国家庭料理 ジョリヤ
fast_food  |  らあめんかふぇ
fast_food  |  ラーメン屋さん くるま
pub  |  ぎょうざ天国
fast_food  |  スタミナ飯店
restaurant  |  牛角
pub  |  旬菜酒場ほおずき
fast_food  |  旬鮨
fast_food  |  Sガスト
fast_food  |  オリジン弁当
bar  |  SOOYEN
pub  |  居酒屋太陽
pub  |  餃子バー りん屋
cafe  |  メゾン ichi
parking_space  |  渋谷T017
restaurant  |  シェリュイ
toilets  |  あれどめ ひび セーフ
dentist  |  中歯科
restaurant  |  末ぜん
post_box  |  Post box
telephone  |  Pay phone
place_of_worship  |  守徳寺
cafe  |  Urth Caffe
cafe  |  カフェ・ベローチェ
restaurant  |  マリンカフェ
restaurant  |  ラーメン凪 炎のつけめん
fast_food  |  ファーストキッチン
fast_food  |  Subway
restaurant  |  タパスタパス
restaurant  |  Conceal cafe
place_of_worship  |  乗泉寺
parking  |  タイムズ渋谷桜ヶ丘町
library  |  こもれび大和田図書館
bar  |  サイドカー
bar  |  ジョイ（JOY）
restaurant  |  堰
fast_food  |  湘南乃家
cafe  |  HACHI CAFE
pub  |  カフェ・ドゥ・ジャルダン
restaurant  |  神戸ステーキハウス
fuel  |  ENEOS
restaurant  |  四川料理 新中華
restaurant  |  lafaro
fast_food  |  ごんにんごん
restaurant  |  赤から
pub  |  囲
pub  |  楽蔵
pub  |  大帆
pub  |  二重丸
pharmacy  |  くすりの福太郎
fast_food  |  松屋
cafe  |  ドトール みなとみらい駅店
fast_food  |  ほんのり家
atm  |  三井住友銀行
fast_food  |  マクドナルド
cafe  |  タリーズコーヒー
cafe  |  喫茶室ルノアール
fast_food  |  Sガスト
pub  |  玉河
pub  |  餃子のニューヨーク
restaurant  |  牛繁
restaurant  |  中国ラーメン 揚州商人
cafe  |  PaPaの店
restaurant  |  鳥八百八
cafe  |  Segafredo
fast_food  |  日高屋
restaurant  |  そば処 遊
restaurant  |  一歩
restaurant  |  Syukur
restaurant  |  しゃぶ葉
clinic  |  Taulli Acupuncture & Massage
parking  |  タイムズ
parking  |  ナビパーク (Navi Park)
toilets  |  ひよどり山トイレ
restaurant  |  らーめん専門店小川本店
cafe  |  くるてく
fast_food  |  山田うどん
fast_food  |  山田うどん
fast_food  |  山田うどん (Yamada-Udon)
fast_food  |  山田うどん (Yamada-Udon)
fuel  |  ENEOS
bank  |  水戸信用金庫
fuel  |  ENEOS
cafe  |  ape
cafe  |  ape
community_centre  |  井野公民館
fast_food  |  すき家
bank  |  三井住友銀行
bank  |  常陽銀行
place_of_worship  |  富士浅間神社
place_of_worship  |  氷川神社
place_of_worship  |  敷島神社
place_of_worship  |  舘ノ氷川神社
place_of_worship  |  上ノ氷川神社
place_of_worship  |  中ノ氷川神社
place_of_worship  |  下ノ氷川神社
place_of_worship  |  宿ノ天神社
place_of_worship  |  羽根倉ノ浅間神社
place_of_worship  |  御嶽神社
place_of_worship  |  宮戸神社
place_of_worship  |  天明稲荷神社
place_of_worship  |  内間木神社
place_of_worship  |  下内間木ノ氷川神社
place_of_worship  |  田島ノ神明神社
place_of_worship  |  美女神社
place_of_worship  |  浜崎ノ氷川神社
place_of_worship  |  岡ノ氷川神社
place_of_worship  |  溝沼ノ氷川神社
place_of_worship  |  膝折ノ氷川神社
bar  |  808LOUNGE
place_of_worship  |  大谷弁財天
fast_food  |  昇楽
restaurant  |  三平
pub  |  陳家私菜
car_rental  |  トヨタレンタカー・リース
fast_food  |  十二社 大勝軒
restaurant  |  新井屋 (araiya)
clinic  |  ナグモクリニック
pub  |  こーしゅんラーメン
restaurant  |  AHILYA
pub  |  IRISH PUB The ShANNONS
pub  |  くろ○
restaurant  |  竹宝亭
pub  |  魚民
fast_food  |  富士そば
pub  |  Yabu - Kuni
pub  |  酔郷
restaurant  |  風神
bank  |  千葉信用金庫
restaurant  |  キッチンキング
restaurant  |  新中華
fuel  |  ENEOS
pub  |  白木屋
hospital  |  しすい眼科医院
pharmacy  |  仲野薬局 駅前店
community_centre  |  大崎自治会館
pharmacy  |  SENDO
restaurant  |  ガスト 酒々井店
fast_food  |  マクドナルド 51号酒々井店
restaurant  |  鮨多津美
dentist  |  小泉歯科医院
doctors  |  高座渋谷じんクリニック
restaurant  |  ダノイ
bicycle_parking  |  高幡不動駅南臨時駐車場
training  |  代々木進学ゼミナール
fast_food  |  松屋
restaurant  |  カトマンド・レストラン
parking  |  タイムズ
parking  |  コムパーク 百草園
parking  |  タイムズ 百草園
fast_food  |  フレッシュネスバーガー
pub  |  笑酔
restaurant  |  プルニワ
place_of_worship  |  大廣神社
community_centre  |  浜町区民館
fuel  |  昭和シェル石油SS
fast_food  |  うま煮ラーメン醤
restaurant  |  Grillcafe Garden
fuel  |  ESSO
restaurant  |  エーアール
karaoke_box  |  エーアール
public_building  |  酒々井町社会福祉協議会
bank  |  千葉信用金庫
bank  |  千葉銀行
pub  |  錦
fast_food  |  ガツリ
training  |  国際日本語学院
restaurant  |  サイゼリヤ
fast_food  |  オリジン弁当
pub  |  常とん
pub  |  さくらさく
fast_food  |  海鮮三崎港
pub  |  いいとこどりや
restaurant  |  日山
fast_food  |  ちよだ鮨
fast_food  |  富士そば
pub  |  月の宴 人形町駅前店
atm  |  ゆうちょ銀行
place_of_worship  |  春日神社
cafe  |  スターバックス
restaurant  |  バーミヤン 酒々井店
restaurant  |  安楽亭 酒々井店
fast_food  |  讃岐饂飩まるは
fast_food  |  モスバーガー
child_care  |  ITTO個別指導学院
pharmacy  |  くすりの福太郎
fast_food  |  カブスベーグル 酒々井
doctors  |  鈴木接骨 はり灸院
restaurant  |  川豊本店
fast_food  |  マクドナルド
fast_food  |  松屋 松原団地店
fuel  |  ENEOS
fast_food  |  ホットモット
restaurant  |  すし処　善
restaurant  |  まんぷく食堂
fast_food  |  すき屋
restaurant  |  丸亀製麺
cafe  |  ローダーデール
place_of_worship  |  森越山閑窓寺
cafe  |  cafe 海の塔
toilets  |  網代園地便所
fast_food  |  はなまるうどん
place_of_worship  |  八幡神社
fast_food  |  マクドナルド
dentist  |  安藤歯科
restaurant  |  ココス
restaurant  |  喜船
restaurant  |  アジアンパール
fuel  |  ENEOS
parking_entrance  |  新宿モノリス駐車場
cafe  |  エクセルシオール カフェ
restaurant  |  食事処たなか‎
restaurant  |  うなぎ島田屋
restaurant  |  手打ちそば
marketplace  |  自然休養村センター
fast_food  |  マクドナルド
restaurant  |  イタリア食堂 ファリーナ
restaurant  |  MAYA
restaurant  |  YORIMI
place_of_worship  |  愛宕神社
pub  |  だるま屋
restaurant  |  パッパパスタ
pub  |  魚鮮水産 さかなや道場
pub  |  よいとら
cafe  |  ドトールコーヒーショップ
restaurant  |  上海酒家
restaurant  |  フライングガーデン
doctors  |  飯能産婦人科
bank  |  三井住友銀行
parking  |  タイムズ
parking  |  タイムズ千駄ヶ谷第10
parking  |  東洋カーマックス千駄ヶ谷駐車場
restaurant  |  つけ麺 五ノ神製麺所
fuel  |  ESSO
restaurant  |  焼肉 車
restaurant  |  JOYFUL
restaurant  |  中華 十八番
cafe  |  タリーズコーヒー
public_bath  |  秩父湯元;武甲温泉
nightclub  |  Unit
food_court  |  イーター
restaurant  |  パッション
restaurant  |  pachon
restaurant  |  LE CORDON BLEU
cafe  |  lab.LABAR
embassy  |  エジプト大使館
restaurant  |  とんかつ ぽん太
place_of_worship  |  高円寺
restaurant  |  三田製麺所
fast_food  |  富士そば
cafe  |  スターバックス
restaurant  |  カンティブール屋台
driving_school  |  武蔵野自動車教習学校
restaurant  |  サルサマーレ
restaurant  |  天下一品
restaurant  |  浪花ひとくち餃子チャオチャオ
restaurant  |  手打ち酒菜蕎麦 初代
restaurant  |  炭火焼肉 トラジ庵
restaurant  |  ル・コントワール・オクシタン
cafe  |  エクセルシオール
fast_food  |  Tom's sandwich
restaurant  |  Kouu
bank  |  JA
cafe  |  珈琲館早稲田店(kohikan)
hospital  |  国立精神・神経医療研究センター病院
swimming_pool  |  萩山プール
restaurant  |  浜名湖うなぎ徳
clinic  |  南青山内科クリニック
restaurant  |  開化亭
fast_food  |  ラーメン凪
restaurant  |  ANTIVINO
pub  |  ととしぐれ
pharmacy  |  ドラッグストア マツモトキヨシ 江戸川台店
pub  |  魚民
restaurant  |  カラオケBanBan流山江戸川台店
bank  |  島田質店
school  |  汎陽会
place_of_worship  |  氷川神社
restaurant  |  Deliziozo ITALIA
police  |  鎌倉警察署
parking  |  カドヤ駐車場
place_of_worship  |  平山季重神社(Hirayama Sueshige Shrine)
kindergarten  |  勝田第一幼稚園
library  |  図書情報センター日野館
place_of_worship  |  浅間神社
restaurant  |  Tavern
restaurant  |  はなまるうどん
cafe  |  ミスタードーナツ
cinema  |  ポレポレ東中野
restaurant  |  ワインとフランス料理 リエーブル
cafe  |  スターバックスコーヒー
parking  |  三井のリパーク
restaurant  |  向来
restaurant  |  都寿司
bar  |  立ち呑み 串吟
restaurant  |  ココス日吉店
fast_food  |  すき家
pharmacy  |  ヘルスケアセイジョー
pub  |  やる気茶屋
fast_food  |  クオーレ歯科
atm  |  三井住友銀行
fast_food  |  京樽
restaurant  |  Jonathan
cafe  |  カフェド ペリーヌ
pharmacy  |  マエノ薬局
restaurant  |  俺流塩らーめん
restaurant  |  叙々苑
parking_space  |  Load parking
restaurant  |  デニーズ
parking  |  Parking lot
restaurant  |  味の民芸
restaurant  |  Ristorante Yagi
restaurant  |  Monsoon Cafe
parking_space  |  Load parking
cafe  |  Green Cafe Saigoyama
toilets  |  Public Restrooms
fast_food  |  HOLLYWOOD BURGER
vending_machine  |  Vending machine
fast_food  |  HOLLYWOOD BURGER
restaurant  |  Restaurant Toki
restaurant  |  Bistro Favori
university  |  産業能率大学マネジメントスクール
parking_space  |  Load parking
parking_space  |  Load parking
embassy  |  デンマーク大使館
parking_space  |  Load parking
restaurant  |  Papa Antonio
cafe  |  Matsunosuke N.Y.
parking_space  |  Load parking
car_wash  |  コイン洗車場
restaurant  |  若松
parking  |  エイブルパーキング
restaurant  |  アジアンキッチン ヒマラヤ
pharmacy  |  スギ薬局
parking  |  三井のリパーク
restaurant  |  舌喰坊
restaurant  |  さくら飯店
restaurant  |  黒べこ屋
fast_food  |  モスバーガー
fast_food  |  かんむりや！
pub  |  くいもの屋わん
restaurant  |  OGAWAKEN
fast_food  |  宝華らあめん
pub  |  ほほほの北海道
cafe  |  tao
restaurant  |  Ronfan. 龍坊
bar  |  タラの丘 Irish Bar
restaurant  |  ハヤシ屋中野
cafe  |  アロハ テーブル
restaurant  |  ジョリーパスタ
restaurant  |  餃子の王将
place_of_worship  |  日本基督教団西新井教会
love_hotel  |  Aim
restaurant  |  ガパオ食堂
training  |  Dr.関塾
dentist  |  荒井歯科医院
restaurant  |  道頓堀
dentist  |  ほんま歯科
clinic  |  三上接骨院
fast_food  |  PIZZA
fuel  |  ENEOS
restaurant  |  インド料理 ラニー
dentist  |  藤井歯科
restaurant  |  ガスト
bank  |  たましん
dentist  |  相良歯科
bank  |  三菱東京UFJ銀行
fast_food  |  モスバーガー
pharmacy  |  セイジョー
fast_food  |  むらたや
restaurant  |  ジョナサン
bus_station  |  ドリームハイツ
restaurant  |  炭火焼肉まつざか
pharmacy  |  バイゴー
restaurant  |  ガスト
restaurant  |  江戸っ子寿司
restaurant  |  水仙
place_of_worship  |  普門寺
parking  |  三井のリパーク
training  |  小金井自動車学校
pub  |  居酒屋 夢路
place_of_worship  |  宝泉禅寺
parking  |  日野駅西駐車場
restaurant  |  ダイヤ寿司
restaurant  |  ふかさわ
parking  |  ふれあい館専用駐車場
restaurant  |  古陶里
training  |  吾妻稲門教室
training  |  明光義塾
pub  |  楽珍
restaurant  |  大むら
library  |  山中湖情報創造館
restaurant  |  ホープ軒
kindergarten  |  新宿三つの木保育園
pub  |  人生再生酒場
pub  |  養老乃滝
pub  |  十七番地
cafe  |  Cafe shukring
restaurant  |  ビストロ幸哉
fast_food  |  はま寿司(Hamasushi)
fuel  |  ENEOS
place_of_worship  |  前川神社
place_of_worship  |  観福寺
fast_food  |  マクドナルド
fast_food  |  ケンタッキーフライドチキン
place_of_worship  |  浅川金刀比羅宮
place_of_worship  |  多武峯内藤神社
bar  |  T's
restaurant  |  ジャングルレストラン マヤ
university  |  早稲田大学人間科学院
training  |  サイシンエクセル
clinic  |  おくもとクリニック
fast_food  |  磯丸水産 浜焼
restaurant  |  ちゃんこ部屋
bbq  |  あぶりどり バリ鳥
restaurant  |  デニーズ
parking_entrance  |  第二本庁舎
parking  |  西新宿四丁目駐車場
bank  |  三菱東京UFJ銀行
restaurant  |  QED
theatre  |  六行会ホール (Rikkoukai)
fast_food  |  小諸そば
restaurant  |  都寿司
bank  |  朝日信用金庫
pub  |  どんぐり
fast_food  |  東京チカラめし
fast_food  |  松屋
parking  |  東洋カーマックス月島駐車場
bicycle_parking  |  アトレ亀戸駐輪場Ａ
pharmacy  |  マツモトキヨシ
pharmacy  |  はなファーマシー
atm  |  みずほ銀行
restaurant  |  エチオピア カリーキッチン
fast_food  |  おむすび権米衛
restaurant  |  肉の万世
bar  |  Route 20
restaurant  |  名菜館
fast_food  |  すき家
restaurant  |  CHANTI-DUE
restaurant  |  香港彩食 你好
pub  |  のみくい処 味里
pharmacy  |  本町調剤薬局 明神町店
restaurant  |  Kocca bocca
fast_food  |  ミスタードーナツ 京成大久保駅前
restaurant  |  うきょう
pub  |  さーてぃーず
restaurant  |  ひろ
dentist  |  まつおか歯科医院
cafe  |  ドトールコーヒーショップ
doctors  |  新丸子整形外科
fast_food  |  東京チカラめし
dentist  |  松島歯科クリニック
restaurant  |  白水
nursing_home  |  デイサービスセンター なごやか武蔵小杉
pub  |  かみ村
restaurant  |  ばんぶう
restaurant  |  味の好楽
pub  |  庄や
dentist  |  林歯科医院
fast_food  |  白湯麺屋
dentist  |  仁愛歯科
fast_food  |  吉野家
restaurant  |  ジャンボおしどり寿司
restaurant  |  C&C
cafe  |  COLORAD
fast_food  |  Fujiya Land
pub  |  バール イクタ
bus_station  |  リムジンバス (成田) - 新宿駅
cafe  |  Pronto
restaurant  |  Tenkane Shinjuku Odakyu HALC
restaurant  |  inton
restaurant  |  あす香
fast_food  |  かのや
pub  |  さくら水産
fast_food  |  すためし
pub  |  たが屋
fast_food  |  つのはず 深大寺そば
restaurant  |  ねぎし
fast_food  |  はなまるうどん
restaurant  |  ふらんす亭
pub  |  まさみや
bank  |  みずほ銀行
bank  |  みずほ銀行
restaurant  |  ゆるりや
pub  |  よいよい
bank  |  りそな銀行
pub  |  わさび家
cafe  |  スターバックス
cafe  |  スターバックス
restaurant  |  ステーキ パンドラ西口店
pharmacy  |  ダイコクドラッグ
cafe  |  ドトールコーヒーショップ
restaurant  |  ピツォッケリ
pharmacy  |  プラザ薬局
restaurant  |  マイアミガーデン
fast_food  |  マクドナルド
restaurant  |  ラケル
restaurant  |  ル・モンド
fast_food  |  一滴八銭屋
fast_food  |  三国一
fast_food  |  三田製麺所
bank  |  三菱UFJ信託銀行
public_building  |  中小企業金融公庫新宿支店
dentist  |  中川歯科
restaurant  |  八吉
pub  |  和民
pub  |  天狗
restaurant  |  寅
fast_food  |  富士そば
university  |  工学院大学（工学部）
university  |  工学院大学（情報学部）
pub  |  広州市場
fast_food  |  手打そば渡邉
post_office  |  新宿センタービル内郵便局
parking  |  新宿西口P
police  |  新宿警察署新宿駅西口交番
pub  |  月の雫
hospital  |  朝日生命成人病研究所附属病院
fast_food  |  東京チカラめし
pub  |  東方見聞録
fast_food  |  松屋
restaurant  |  栄寿司
fast_food  |  楽釜製麺所
fast_food  |  油そば
fast_food  |  白屋製麺
pub  |  芋蔵
restaurant  |  謝朋殿 粥餐庁 京王モール店
restaurant  |  豚珍館
pub  |  金の蔵
fast_food  |  魚がし日本一
pub  |  魚民
pub  |  鳥元
pub  |  鳥良
restaurant  |  風の陣
police  |  高田交番
pub  |  み国
pub  |  花藤
fast_food  |  スシロー
bicycle_parking  |  蒲田駅消費者生活センター横 自転車駐車場
bicycle_parking  |  蒲田五丁目45番自転車駐車場
bicycle_parking  |  蒲田駅東口環八横 自転車駐車場
restaurant  |  SOUL
restaurant  |  伊吹
clinic  |  エルムス動物医療センター
clinic  |  佐伯医院
fast_food  |  吾喰
fast_food  |  オリジン弁当
pharmacy  |  ワタキュー薬局
bicycle_parking  |  アロマ地下 自転車駐車場
restaurant  |  手打ちうどん 味の民芸
fast_food  |  らーめん たつ
clinic  |  小手指南クリニック
restaurant  |  江南飯店
fast_food  |  おがわや
veterinary  |  かじはら動物病院
restaurant  |  レストランみずきや
dentist  |  アイ歯科医院
parking  |  タイムズ
pub  |  大将
fast_food  |  すき家
training  |  代進パーソナル
pub  |  杜
fast_food  |  ほっともっと
pub  |  桃屋
restaurant  |  Don Don
bus_station  |  十日市場駅
restaurant  |  シティーク
cafe  |  喫茶室ルノアール 新宿大ガード店
cafe  |  喫茶室ルノアール 新宿小滝橋通り店
pub  |  博多道場
pub  |  天狗
fast_food  |  富士そば
place_of_worship  |  新宿シャローム教会
fast_food  |  札幌ラーメン
fast_food  |  福しん
fast_food  |  東京麺達団
pub  |  PAL CLUB
pub  |  おおの屋
pub  |  きいろいはな
pub  |  ひなた
pub  |  よし田
restaurant  |  タイ国屋台食道
pub  |  タカマル鮮魚店
restaurant  |  ナラビ
kindergarten  |  ルーチェ保育室
restaurant  |  光来
pub  |  座空
place_of_worship  |  新栄稲荷
restaurant  |  木場
restaurant  |  浜勢
restaurant  |  田舎家
pub  |  蔵
fast_food  |  風来居
pub  |  てけてけ
pharmacy  |  クォール薬局
cafe  |  サンマルクカフェ
cafe  |  ドトールコーヒーショップ
bank  |  北陸銀行
fast_food  |  吉野家
pub  |  土風炉
pharmacy  |  日生薬局
restaurant  |  菜の菜
cafe  |  BBB
pub  |  さくら
pub  |  ふじ家
restaurant  |  ジョナサン
pharmacy  |  スギ薬局
cafe  |  タリーズコーヒー
restaurant  |  ターリー家
atm  |  SMBC
pharmacy  |  共立薬局
dentist  |  山形歯科医院
dentist  |  シミズ歯科
restaurant  |  丸や
fast_food  |  大橋や
restaurant  |  権太呂すし
pub  |  生粋
cafe  |  豆うさぎ
restaurant  |  みはら
fast_food  |  らーめん好々爺
dentist  |  ファミーユ歯科
fast_food  |  マクドナルド
clinic  |  前田クリニック
fast_food  |  マクドナルド
atm  |  三菱東京UFJ銀行
fast_food  |  松屋
bank  |  東日本銀行
pub  |  FINE
restaurant  |  SANGAM
dentist  |  大草歯科医院
bank  |  三井住友銀行
pub  |  魚民
cafe  |  ドトールコーヒーショップ
pub  |  はなの舞
pub  |  養老乃瀧
post_office  |  八王子北野郵便局
pharmacy  |  三宝薬局
bicycle_parking  |  北野駅東自転車駐車場
restaurant  |  中国・台湾料理 赤尾菜館
restaurant  |  ウェンズキッチン
restaurant  |  中国料理 弘福
restaurant  |  焼肉あおやま
pub  |  庄や
pharmacy  |  CREATE
pub  |  DK-FINE
pub  |  志まや
pub  |  くう
restaurant  |  Jolly-Pasta
parking  |  タイムズ
fast_food  |  めんや蔵
restaurant  |  増田屋
parking  |  タイムズ
restaurant  |  うなぎ大久保
bicycle_parking  |  北野駅西自転車駐車場
atm  |  みずほ銀行
fast_food  |  タンポポ
fast_food  |  Hotto Motto
toilets  |  蒲田交差公衆便所
bank  |  中央労働金庫
veterinary  |  島田動物病院
fast_food  |  ラーメン・餃子 大王亭
dentist  |  中町歯科診療所
pub  |  三是
restaurant  |  沙羅
fast_food  |  がってん寿司 所沢狭山ヶ丘店
restaurant  |  とんでん 狭山ヶ丘店
fast_food  |  らーめん屋 あじとら 所沢店
restaurant  |  サイゼリヤ 狭山ヶ丘店 (Saizeriya)
pharmacy  |  サンドラッグ 狭山ヶ丘店 (SUNDRUG)
restaurant  |  ステーキのどん 所沢狭山ヶ丘店
pharmacy  |  セイジョー 狭山ヶ丘店 (SEIJO)
bank  |  東和銀行 狭山ヶ丘支店 (TOWA)
restaurant  |  炭火YAKINIKU からくに屋 狭山ヶ丘店
place_of_worship  |  三ツ井戸 弘法大師 六角堂
public_bath  |  弘法の湯
restaurant  |  竹亭
bank  |  武蔵野銀行
parking  |  三井のリパーク
fast_food  |  竹亭元町店
place_of_worship  |  野老山 寛藏院
place_of_worship  |  六地蔵
place_of_worship  |  お稲荷様
dentist  |  斎藤歯科
fast_food  |  Domino's
parking  |  タイムズ
fuel  |  ENEOS
dentist  |  はただデンタルクリニック
car_rental  |  日産レンタカー
atm  |  さわやか信用金庫
fast_food  |  松屋
restaurant  |  雪花苑
fuel  |  出光
bar  |  CHIANTHI-PIETRA
restaurant  |  カルビ亭
fuel  |  コスモ石油
fast_food  |  マクドナルド
pub  |  おけさ
training  |  進学教室エコル
pub  |  クライネヒュッテ
school  |  東京テクニカルカレッジ
bank  |  東日本銀行
pub  |  串松
restaurant  |  kikuya
fast_food  |  江戸一
pub  |  みさと
pub  |  酒処 理せい
studio  |  サワミュージカルスタジオ
pub  |  鈴屋
pub  |  なかむら
dentist  |  宮本町歯科
restaurant  |  初島ピクニックガーデン
restaurant  |  大戸屋
restaurant  |  三間堂
kindergarten  |  くばがさ保育園
school  |  日能研
restaurant  |  葉山庵
theatre  |  Filmee
restaurant  |  mm thai
fast_food  |  PARIYA
cafe  |  サンマルクカフェ
bar  |  Licht
place_of_worship  |  長照山樹林寺
cafe  |  上島珈琲店
fast_food  |  吉野家
restaurant  |  珍々亭
townhall  |  前川公民館
telephone  |  10248番
restaurant  |  らあめん つけそば 頂
bus_station  |  文教大学
fast_food  |  バーガーキング (Burger King)
hospital  |  品川シーサイド歯科
fast_food  |  日高屋
restaurant  |  博𠮷
restaurant  |  OVE南青山
cafe  |  BROOK Mizunobu
fuel  |  ENEOS
restaurant  |  ひな野 所沢店
fast_food  |  三丁目のうどん店
restaurant  |  和伊's in かまど
fast_food  |  山田うどん 堀之内店 (Yamada Udon)
bank  |  西武信用金庫 狭山ヶ丘支店 (SEIBU)
doctors  |  近藤クリニック
pharmacy  |  スギ薬局
pharmacy  |  西船薬局
community_centre  |  美竹の丘・しぶや
restaurant  |  カザーナ
restaurant  |  田舎そば のぶや
pharmacy  |  ツルハドラッグ勝田店
school  |  ひたちなか市立 中根小学校
bicycle_parking  |  麻布十番第1暫定自転車駐車場
bank  |  三菱東京UFJ銀行
restaurant  |  包丁人Saburo
restaurant  |  よし喜
restaurant  |  三と十
pharmacy  |  マツモトキヨシ
restaurant  |  田はら
cafe  |  椿屋珈琲店
cafe  |  喫茶室ルノアール 六本木ラピロス店
bank  |  三井住友銀行
fast_food  |  松屋
kindergarten  |  三芳元氣保育園
restaurant  |  The Pink Cow
pub  |  かまどか
atm  |  三井住友銀行
